text,label
You’ll never be good enough for anyone.  ,1
"Just end it already, you’re so useless.  ",1
"Nobody cares about you, you’re just a waste.  ",1
You’ll never achieve anything in life.  ,1
"Everyone hates you, stop pretending.  ",1
You’re too stupid to understand anything.  ,1
I don’t know why anyone talks to you.  ,1
You should just stay away from everyone.  ,1
Your existence is annoying.  ,1
I bet you can’t even tie your own shoes.  ,1
"No one wants to be around you, you’re pathetic.  ",1
You’ll always be a loser.  ,1
You don’t deserve to be happy.  ,1
"Just give up, no one cares about you.  ",1
Your opinion doesn’t matter to anyone.  ,1
You should just disappear.  ,1
You’re too ugly to get anyone’s attention.  ,1
"No one likes you, stop pretending.  ",1
You’ll never fit in anywhere.  ,1
You're not even worth insulting.  ,1
"You're a failure, you always will be.  ",1
"No one wants you around, you're a burden.  ",1
You’ll always be a joke to everyone.  ,1
What’s the point of even talking to you?  ,1
You’re just a loser with no future.  ,1
Everyone is just pretending to like you.  ,1
"Why are you even here, nobody wants you.  ",1
You’re completely useless to society.  ,1
It’s better if you just keep quiet.  ,1
"Your dreams will never come true, face it.  ",1
You’re not even worth being a friend.  ,1
"You look ridiculous, nobody cares.  ",1
"Nobody wants your opinion, keep it to yourself.  ",1
You're just wasting everyone’s time.  ,1
You’ll never get anything right.  ,1
Why do you even try? It’s not like you’ll succeed.  ,1
You should just go away.  ,1
You're just going to screw everything up.  ,1
You’re too dumb to figure anything out.  ,1
Nobody cares about your pathetic life.  ,1
You’ll never find anyone who cares about you.  ,1
"You're so annoying, just shut up.  ",1
Everyone secretly laughs at you.  ,1
You’re too fat to ever be attractive.  ,1
Your clothes are embarrassing.  ,1
"You’ll always be alone, no one will ever want you.  ",1
"You're so stupid, it's embarrassing.  ",1
"Stop acting like you matter, you don't.  ",1
You’re just a waste of space.  ,1
Why do you even bother trying?  ,1
You’ll never be good enough for anyone.  ,1
You're a disgrace to everyone around you.  ,1
"Just give up, nobody cares.  ",1
"You're so dumb, it’s pathetic.  ",1
You’re just a burden on everyone.  ,1
I don't even know why you’re here.  ,1
You’ll never be successful in anything.  ,1
"You’re a failure, just accept it.  ",1
"Everyone avoids you, can’t you tell?  ",1
Why are you even alive?  ,1
You’re too ugly to ever be happy.  ,1
No one would care if you were gone.  ,1
You don’t belong here.  ,1
You don’t deserve to be treated well.  ,1
Nobody is ever going to love you.  ,1
You're just a pathetic loser.  ,1
You're nothing but a joke.  ,1
Nobody cares what you have to say.  ,1
No one wants to be your friend.  ,1
You're not good enough to hang out with us.  ,1
You will always be alone.  ,1
Stop pretending you're something you're not.  ,1
Nobody will ever understand you.  ,1
You're too ugly to have any friends.  ,1
Why do you even talk? Nobody listens.  ,1
You're always going to be a failure.  ,1
No one wants to listen to your drama.  ,1
You’re always going to be the odd one out.  ,1
You're just a burden on everyone’s shoulders.  ,1
You’ll never make it in life.  ,1
You will never be good enough for anyone.  ,1
Everyone laughs at you behind your back.  ,1
"Stop trying, you're just embarrassing yourself.  ",1
You're not even worth my time.  ,1
You're too lazy to ever get anything done.  ,1
Everyone ignores you because you’re irrelevant.  ,1
You’ll always be a joke to everyone.  ,1
No one will ever take you seriously.  ,1
You're just wasting your time trying.  ,1
You're a disappointment to everyone around you.  ,1
Nobody wants anything to do with you.  ,1
"You’re so stupid, I can’t even look at you.  ",1
You will always be a nobody.  ,1
You’re just a waste of space on Earth.  ,1
Your life has no meaning.  ,1
"You will never be happy, stop pretending.  ",1
No one cares about your problems.  ,1
"You're just a mess, and everyone can see it.  ",1
Nobody cares if you live or die.  ,1
You're just a loser and you always will be.  ,1
You're too annoying for anyone to care.  ,1
Why don't you just stay out of everyone’s way?  ,1
You’ll never get anywhere in life.  ,1
Nobody would even miss you if you were gone.  ,1
You’re a failure and you’ll always be one.  ,1
"You're worthless, nobody cares about you.  ",1
Why don’t you just disappear?  ,1
Nobody cares about your stupid opinions.  ,1
You can’t do anything right.  ,1
Nobody cares what happens to you.  ,1
You're nothing but a mistake.  ,1
No one would ever want to be with you.  ,1
You’ll never be anything more than a failure.  ,1
Everyone is just pretending to like you.  ,1
Your life is pointless.  ,1
You're just wasting space on Earth.  ,1
Nobody wants you here.  ,1
You’ll never be good enough for anyone.  ,1
No one wants to listen to you.  ,1
You're just a joke.  ,1
"You're so useless, it’s painful.  ",1
"Just stop trying, you’ll never be successful.  ",1
Everyone is always laughing at you.  ,1
You're just too much of a burden.  ,1
You’ll never be anything in life.  ,1
You're just a joke to everyone.  ,1
Everyone talks behind your back.  ,1
"You’ll never be happy, stop trying.  ",1
You're a joke and everyone knows it.  ,1
You're too pathetic for anyone to care.  ,1
Just stop acting like you belong.  ,1
You're too weak to survive in the real world.  ,1
"You're so stupid, no one wants to talk to you.  ",1
You're always going to be a loser.  ,1
Everyone secretly hates you.  ,1
You don’t belong with us.  ,1
Stop pretending you’re better than everyone.  ,1
Nobody will ever care about you.  ,1
You're just wasting everyone's time.  ,1
You’ll never amount to anything.  ,1
You’ll always be a failure.  ,1
No one even notices you.  ,1
You're too dumb to figure anything out.  ,1
"You’re worthless, just face it.  ",1
You don’t deserve to live.  ,1
No one cares what happens to you.  ,1
Nobody even remembers who you are.  ,1
You will always be alone.  ,1
You’re always going to be a loser.  ,1
No one wants you around.  ,1
Your life is a joke.  ,1
You're not even worth insulting.  ,1
Stop trying to be something you're not.  ,1
You're a disappointment to everyone.  ,1
Nobody would even care if you disappeared.  ,1
You’ll never get anything right.  ,1
You’re just a waste of time.  ,1
No one cares about your feelings.  ,1
You're a failure and always will be.  ,1
"Stop trying to fit in, it’s never going to happen.  ",1
No one listens to you.  ,1
You're too dumb for anyone to respect.  ,1
You’re never going to achieve anything.  ,1
You’re a joke to everyone who knows you.  ,1
Nobody wants to deal with you.  ,1
You’ll always be pathetic.  ,1
"You're a loser, just accept it.  ",1
Nobody cares about your existence.  ,1
Why do you even talk? Nobody listens.  ,1
You’ll always be alone.  ,1
No one will ever care about you.  ,1
You can’t even do the simplest things right.  ,1
You’re too ugly for anyone to love you.  ,1
You’re a failure and always will be.  ,1
Nobody respects you.  ,1
You’re always going to be a disappointment.  ,1
Everyone is just pretending to like you.  ,1
You’re a waste of space.  ,1
Nobody even knows you exist.  ,1
You’ll never be anything but a failure.  ,1
Stop pretending like you matter.  ,1
Nobody wants you around.  ,1
You’ll always be a joke.  ,1
No one cares about your pain.  ,1
You will always be useless.  ,1
Everyone is just laughing at you.  ,1
You’re a waste of everyone's time.  ,1
Nobody cares if you succeed or fail.  ,1
You don’t deserve to be happy.  ,1
You’re just a waste of air.  ,1
Nobody cares if you live or die.  ,1
Stop pretending you're something you're not.  ,1
You can’t even get it right.  ,1
"You’re worthless, no one cares.  ",1
Nobody will ever understand you.  ,1
You're always going to be alone.  ,1
You’re not even worth hating.  ,1
Nobody wants anything to do with you.  ,1
"You will never succeed, face it.  ",1
No one will ever care about you.  ,1
Your life is worthless.  ,1
You're always going to be a failure.  ,1
Nobody takes you seriously.  ,1
You’ll always be a loser.  ,1
Nobody respects you.  ,1
You’ll always be nothing.  ,1
You don’t even belong here.  ,1
Everyone is laughing at you behind your back.  ,1
Nobody will ever love you.  ,1
You’re just wasting your time.  ,1
No one cares about your opinions.  ,1
You will never fit in.  ,1
You're just a mistake.  ,1
Nobody even knows you're here.  ,1
You’re always going to be a loser.  ,1
Nobody cares about your pathetic life.  ,1
You're just a joke to everyone.  ,1
No one will ever care about you.  ,1
You're just wasting everyone's time.  ,1
